,name,region,country,lat,lon,tz_id,localtime_epoch,localtime,sunrise,sunset,moonrise,moonset,moon_phase,moon_illumination,is_moon_up,is_sun_up
55,Prague,Hlavni mesto Praha,Czech Republic,50.08,14.47,Europe/Prague,1675950929,09/02/2023 14:55,7:24 am,5:09 pm,9:10 pm,9:02 am,Waning Gibbous,91,1,0
56,Copenhagen,Hovedstaden,Denmark,55.67,12.58,Europe/Copenhagen,1675950929,09/02/2023 14:55,7:48 am,5:01 pm,9:18 pm,9:13 am,Waning Gibbous,91,1,0
57,Djibouti,Ali Sabieh,Djibouti,11.6,43.15,Africa/Djibouti,1675950930,09/02/2023 16:55,6:30 am,6:13 pm,9:11 pm,8:53 am,Waning Gibbous,91,1,0
58,Roseau,Saint George,Dominica,15.3,-61.4,America/Dominica,1675950930,09/02/2023 9:55,6:32 am,6:07 pm,9:23 pm,9:02 am,Waning Gibbous,91,0,0
59,Santo Domingo,Distrito Nacional,Dominican Republic,18.47,-69.9,America/Santo_Domingo,1675950932,09/02/2023 9:55,7:10 am,6:37 pm,9:58 pm,9:38 am,Waning Gibbous,91,0,0
60,Quito,Pichincha,Ecuador,-0.22,-78.5,America/Guayaquil,1675950933,09/02/2023 8:55,6:24 am,6:32 pm,9:32 pm,9:11 am,Waning Gibbous,91,0,0
61,Cairo,Al Qahirah,Egypt,30.05,31.25,Africa/Cairo,1675950933,09/02/2023 15:55,6:40 am,5:39 pm,9:00 pm,8:47 am,Waning Gibbous,91,1,0
62,San Salvador,San Salvador,El Salvador,13.71,-89.2,America/El_Salvador,1675950934,09/02/2023 7:55,6:22 am,6:00 pm,9:18 pm,8:56 am,Waning Gibbous,91,0,1
63,Malabo,Bioko Norte,Equatorial Guinea,3.75,8.78,Africa/Malabo,1675950934,09/02/2023 14:55,6:39 am,6:38 pm,9:33 pm,9:12 am,Waning Gibbous,91,1,0
64,Asmara,,Eritrea,15.33,38.93,Africa/Asmara,1675950935,09/02/2023 16:55,6:51 am,6:25 pm,9:29 pm,9:11 am,Waning Gibbous,91,1,0
65,Tallinn,Harjumaa,Estonia,59.43,24.73,Europe/Tallinn,1675950935,09/02/2023 15:55,8:13 am,4:58 pm,9:26 pm,9:27 am,Waning Gibbous,91,1,0
66,Addis Abeba,,Ethiopia,9.03,38.7,Africa/Addis_Ababa,1675950936,09/02/2023 16:55,6:45 am,6:33 pm,9:30 pm,9:11 am,Waning Gibbous,91,1,0
67,Stanley,,Falkland Islands,-51.7,-57.85,Atlantic/Stanley,1675950937,09/02/2023 10:55,5:42 am,8:28 pm,10:02 pm,9:36 am,Waning Gibbous,91,0,0
68,Torshavn,,Faroe Islands,62.02,-6.77,Atlantic/Faroe,1675950937,09/02/2023 13:55,8:31 am,4:52 pm,9:40 pm,9:35 am,Waning Gibbous,91,1,0
69,Ahau,,Fiji Islands,-12.5,177.05,Pacific/Fiji,1675950938,10/02/2023 1:55,6:09 am,6:43 pm,9:03 pm,8:34 am,Waning Gibbous,91,0,1
70,Helsinki,Southern Finland,Finland,60.18,24.93,Europe/Helsinki,1675950938,09/02/2023 15:55,8:16 am,4:54 pm,9:25 pm,9:27 am,Waning Gibbous,91,1,0
71,Paris,Ile-de-France,France,48.87,2.33,Europe/Paris,1675950939,09/02/2023 14:55,8:09 am,6:01 pm,10:00 pm,9:51 am,Waning Gibbous,91,1,0
72,Cayenne,,French Guiana,4.93,-52.33,America/Cayenne,1675950940,09/02/2023 10:55,6:45 am,6:42 pm,9:45 pm,9:24 am,Waning Gibbous,91,0,0
73,Papeete,,French Polynesia Islands,-17.53,-149.57,Pacific/Tahiti,1675950941,09/02/2023 3:55,5:50 am,6:35 pm,9:21 pm,9:02 am,Waning Gibbous,91,0,1
74,Amsterdam Island,,French Southern and Antarctic Lands,-37.83,77.55,Indian/Kerguelen,1675950951,09/02/2023 18:55,5:12 am,6:55 pm,8:54 pm,8:15 am,Waning Gibbous,91,1,0
75,Libreville,Estuaire,Gabon,0.38,9.45,Africa/Libreville,1675950952,09/02/2023 14:55,6:33 am,6:39 pm,9:30 pm,9:09 am,Waning Gibbous,91,1,0
76,Banjul,Banjul,Gambia,13.45,-16.58,Africa/Banjul,1675950953,09/02/2023 13:55,7:32 am,7:10 pm,10:17 pm,9:58 am,Waning Gibbous,91,1,0
77,Tbilisi,Dushet'is Raioni,Georgia,41.73,44.79,Asia/Tbilisi,1675950954,09/02/2023 17:55,8:05 am,6:26 pm,10:03 pm,9:56 am,Waning Gibbous,91,1,0
78,Berlin,Berlin,Germany,52.52,13.4,Europe/Berlin,1675950954,09/02/2023 14:55,7:35 am,5:07 pm,9:14 pm,9:08 am,Waning Gibbous,91,1,0
79,Accra,Greater Accra,Ghana,5.55,-0.22,Africa/Accra,1675950955,09/02/2023 13:55,6:17 am,6:13 pm,9:10 pm,8:49 am,Waning Gibbous,91,1,0
80,Gibraltar,,Gibraltar,36.13,-5.35,Europe/Gibraltar,1675950955,09/02/2023 14:55,8:15 am,6:56 pm,10:32 pm,10:17 am,Waning Gibbous,91,1,0
81,Athens,Attica,Greece,37.98,23.72,Europe/Athens,1675950956,09/02/2023 15:55,7:23 am,5:57 pm,9:31 pm,9:20 am,Waning Gibbous,91,1,0
82,Nuuk,Vestgronland,Greenland,64.18,-51.75,America/Nuuk,1675950957,09/02/2023 10:55,8:43 am,4:40 pm,9:52 pm,9:36 am,Waning Gibbous,91,1,0
83,Saint George's,Saint George,Grenada,12.05,-61.75,America/Grenada,1675950957,09/02/2023 9:55,6:30 am,6:12 pm,9:24 pm,9:03 am,Waning Gibbous,91,0,0
84,Lamentin,,Guadeloupe,16.27,-61.62,America/Guadeloupe,1675950959,09/02/2023 9:55,6:34 am,6:07 pm,9:24 pm,9:03 am,Waning Gibbous,91,0,0
85,Guamuchil,Sinaloa,Mexico,25.46,-108.08,America/Mazatlan,1675950959,09/02/2023 6:55,6:51 am,6:02 pm,9:38 pm,9:14 am,Waning Gibbous,91,0,1
86,Guatemala City,Guatemala,Guatemala,14.62,-90.53,America/Guatemala,1675950960,09/02/2023 7:56,6:28 am,6:04 pm,9:23 pm,9:01 am,Waning Gibbous,91,0,1
87,Guernsey,,United Kingdom,49.45,-2.55,Europe/Guernsey,1675950961,09/02/2023 13:56,7:31 am,5:19 pm,9:21 pm,9:11 am,Waning Gibbous,91,1,0
88,Conakry,Conakry,Guinea,9.51,-13.71,Africa/Conakry,1675950961,09/02/2023 13:56,7:16 am,7:03 pm,10:06 pm,9:46 am,Waning Gibbous,91,1,0
89,Bissau,Bissau,Guinea-Bissau,11.85,-15.58,Africa/Bissau,1675950967,09/02/2023 13:56,7:26 am,7:08 pm,10:13 pm,9:54 am,Waning Gibbous,91,1,0
90,Georgetown,Demerara-Mahaica,Guyana,6.8,-58.17,America/Guyana,1675950968,09/02/2023 9:56,6:10 am,6:03 pm,9:09 pm,8:48 am,Waning Gibbous,91,0,0
91,Port-Au-Prince,Ouest,Haiti,18.54,-72.34,America/Port-au-Prince,1675950973,09/02/2023 8:56,6:20 am,5:47 pm,9:09 pm,8:47 am,Waning Gibbous,91,0,0
92,Carcass Island Settlement,,Falkland Islands,-51.28,-60.55,Atlantic/Stanley,1675950974,09/02/2023 10:56,5:54 am,8:37 pm,10:13 pm,9:47 am,Waning Gibbous,91,0,0
93,Vatican City,,Vatican City,41.9,12.45,Europe/Rome,1675950976,09/02/2023 14:56,7:14 am,5:35 pm,9:18 pm,9:07 am,Waning Gibbous,91,1,0
94,Tegucigalpa,Francisco Morazan,Honduras,14.1,-87.22,America/Tegucigalpa,1675950977,09/02/2023 7:56,6:14 am,5:52 pm,9:10 pm,8:48 am,Waning Gibbous,91,0,0
95,Hong Kong,,Hong Kong,22.28,114.15,Asia/Hong_Kong,1675950979,09/02/2023 21:56,6:59 am,6:16 pm,9:17 pm,9:06 am,Waning Gibbous,91,1,1
96,Budapest,Budapest,Hungary,47.5,19.08,Europe/Budapest,1675950980,09/02/2023 14:56,6:59 am,4:57 pm,8:50 pm,8:42 am,Waning Gibbous,91,1,0
97,Reykjavik,Gullbringusysla,Iceland,64.15,-21.95,Atlantic/Reykjavik,1675950999,09/02/2023 13:56,9:44 am,5:42 pm,10:44 pm,10:37 am,Waning Gibbous,91,1,0
98,New Delhi,Delhi,India,28.6,77.2,Asia/Kolkata,1675951000,09/02/2023 19:26,7:05 am,6:06 pm,9:19 pm,9:09 am,Waning Gibbous,91,1,0
99,Jakarta,Jakarta Raya,Indonesia,-6.21,106.85,Asia/Jakarta,1675951000,09/02/2023 20:56,5:57 am,6:17 pm,8:50 pm,8:26 am,Waning Gibbous,91,1,1
100,Islamic City Of Marawi,Marawi,Philippines,8,124.28,Asia/Manila,1675951001,09/02/2023 21:56,6:02 am,5:52 pm,8:37 pm,8:19 am,Waning Gibbous,91,1,1
101,Baghdad,Baghdad,Iraq,33.34,44.39,Asia/Baghdad,1675951001,09/02/2023 16:56,6:52 am,5:42 pm,9:05 pm,8:54 am,Waning Gibbous,91,1,0
102,Dublin,Dublin,Ireland,53.33,-6.25,Europe/Dublin,1675951002,09/02/2023 13:56,7:56 am,5:24 pm,9:37 pm,9:28 am,Waning Gibbous,91,1,0
103,Douglas,,Isle of Man,54.15,-4.48,Europe/Isle_of_Man,1675951002,09/02/2023 13:56,7:51 am,5:14 pm,9:29 pm,9:21 am,Waning Gibbous,91,1,0
104,Israel,Chiapas,Mexico,16.51,-91.16,America/Mexico_City,1675951003,09/02/2023 7:56,6:33 am,6:05 pm,9:26 pm,9:04 am,Waning Gibbous,91,0,1
105,Rome,Lazio,Italy,41.9,12.48,Europe/Rome,1675951004,09/02/2023 14:56,7:14 am,5:35 pm,9:18 pm,9:07 am,Waning Gibbous,91,1,0
106,Kingston,Saint Andrew,Jamaica,18,-76.8,America/Jamaica,1675951004,09/02/2023 8:56,6:37 am,6:06 pm,9:27 pm,9:05 am,Waning Gibbous,91,0,0
